store_nbr,m,date,t_trans
1,1,2013-01-02,47471
1,2,2013-02-01,40587
1,3,2013-03-01,45299
1,4,2013-04-01,46740
1,5,2013-05-01,46286
1,6,2013-06-01,44876
1,7,2013-07-01,47874
1,8,2013-08-01,45789
1,9,2013-09-01,44540
1,10,2013-10-01,46424
1,11,2013-11-01,46783
1,12,2013-12-01,50110
2,1,2013-01-02,57588
2,2,2013-02-01,51269
2,3,2013-03-01,56849
2,4,2013-04-01,55188
2,5,2013-05-01,56738
2,6,2013-06-01,55607
2,7,2013-07-01,56987
2,8,2013-08-01,57410
2,9,2013-09-01,56673
2,10,2013-10-01,57008
2,11,2013-11-01,57708
2,12,2013-12-01,68879
3,1,2013-01-02,90946
3,2,2013-02-01,83135
3,3,2013-03-01,95882
3,4,2013-04-01,91557
3,5,2013-05-01,94211
3,6,2013-06-01,94855
3,7,2013-07-01,95384
3,8,2013-08-01,96323
3,9,2013-09-01,95199
3,10,2013-10-01,95357
3,11,2013-11-01,93539
3,12,2013-12-01,115043
4,1,2013-01-02,45940
4,2,2013-02-01,41181
4,3,2013-03-01,47712
4,4,2013-04-01,44997
4,5,2013-05-01,46489
4,6,2013-06-01,46660
4,7,2013-07-01,46210
4,8,2013-08-01,45407
4,9,2013-09-01,44264
4,10,2013-10-01,45001
4,11,2013-11-01,44114
4,12,2013-12-01,55848
5,1,2013-01-02,45355
5,2,2013-02-01,42164
5,3,2013-03-01,46358
5,4,2013-04-01,45004
5,5,2013-05-01,46816
5,6,2013-06-01,43892
5,7,2013-07-01,44854
5,8,2013-08-01,47052
5,9,2013-09-01,43169
5,10,2013-10-01,42101
5,11,2013-11-01,42105
5,12,2013-12-01,55147
6,1,2013-01-02,52902
6,2,2013-02-01,48108
6,3,2013-03-01,56606
6,4,2013-04-01,53344
6,5,2013-05-01,55612
6,6,2013-06-01,55285
6,7,2013-07-01,54986
6,8,2013-08-01,55148
6,9,2013-09-01,54706
6,10,2013-10-01,54925
6,11,2013-11-01,53859
6,12,2013-12-01,67918
7,1,2013-01-02,47277
7,2,2013-02-01,45211
7,3,2013-03-01,52587
7,4,2013-04-01,51627
7,5,2013-05-01,54017
7,6,2013-06-01,52919
7,7,2013-07-01,52959
7,8,2013-08-01,51850
7,9,2013-09-01,52810
7,10,2013-10-01,54628
7,11,2013-11-01,53757
7,12,2013-12-01,59205
8,1,2013-01-02,82467
8,2,2013-02-01,74560
8,3,2013-03-01,84822
8,4,2013-04-01,81584
8,5,2013-05-01,84017
8,6,2013-06-01,82118
8,7,2013-07-01,85183
8,8,2013-08-01,85041
8,9,2013-09-01,83514
8,10,2013-10-01,85423
8,11,2013-11-01,84652
8,12,2013-12-01,100098
9,1,2013-01-02,63137
9,2,2013-02-01,58846
9,3,2013-03-01,68179
9,4,2013-04-01,66724
9,5,2013-05-01,67557
9,6,2013-06-01,66265
9,7,2013-07-01,67569
9,8,2013-08-01,68822
9,9,2013-09-01,66680
9,10,2013-10-01,66581
9,11,2013-11-01,64393
9,12,2013-12-01,78787
10,1,2013-01-02,32569
10,2,2013-02-01,30422
10,3,2013-03-01,32940
10,4,2013-04-01,33099
10,5,2013-05-01,33777
10,6,2013-06-01,32482
10,7,2013-07-01,33243
10,8,2013-08-01,33707
10,9,2013-09-01,33104
10,10,2013-10-01,32532
10,11,2013-11-01,31100
10,12,2013-12-01,38516
11,1,2013-01-02,71125
11,2,2013-02-01,67674
11,3,2013-03-01,75837
11,4,2013-04-01,72437
11,5,2013-05-01,75515
11,6,2013-06-01,72397
11,7,2013-07-01,74073
11,8,2013-08-01,76190
11,9,2013-09-01,73749
11,10,2013-10-01,73825
11,11,2013-11-01,72239
11,12,2013-12-01,88937
12,1,2013-01-02,34939
12,2,2013-02-01,33418
12,3,2013-03-01,38450
12,4,2013-04-01,37547
12,5,2013-05-01,38753
12,6,2013-06-01,37568
12,7,2013-07-01,38746
12,8,2013-08-01,37287
12,9,2013-09-01,37076
12,10,2013-10-01,37701
12,11,2013-11-01,36885
12,12,2013-12-01,40516
13,1,2013-01-02,27403
13,2,2013-02-01,26272
13,3,2013-03-01,30680
13,4,2013-04-01,29701
13,5,2013-05-01,30468
13,6,2013-06-01,29490
13,7,2013-07-01,30211
13,8,2013-08-01,29440
13,9,2013-09-01,28318
13,10,2013-10-01,28749
13,11,2013-11-01,28314
13,12,2013-12-01,31992
14,1,2013-01-02,47591
14,2,2013-02-01,43356
14,3,2013-03-01,48895
14,4,2013-04-01,45609
14,5,2013-05-01,46252
14,6,2013-06-01,45328
14,7,2013-07-01,46031
14,8,2013-08-01,44690
14,9,2013-09-01,45482
14,10,2013-10-01,46109
14,11,2013-11-01,44583
14,12,2013-12-01,51087
15,1,2013-01-02,38960
15,2,2013-02-01,35349
15,3,2013-03-01,40068
15,4,2013-04-01,40803
15,5,2013-05-01,43801
15,6,2013-06-01,42785
15,7,2013-07-01,41587
15,8,2013-08-01,40379
15,9,2013-09-01,39569
15,10,2013-10-01,39445
15,11,2013-11-01,37798
15,12,2013-12-01,40368
16,1,2013-01-02,30269
16,2,2013-02-01,28856
16,3,2013-03-01,29685
16,4,2013-04-01,29274
16,5,2013-05-01,31396
16,6,2013-06-01,30477
16,7,2013-07-01,31172
16,8,2013-08-01,32047
16,9,2013-09-01,29964
16,10,2013-10-01,29669
16,11,2013-11-01,29196
16,12,2013-12-01,32986
17,1,2013-01-02,37362
17,2,2013-02-01,35170
17,3,2013-03-01,40607
17,4,2013-04-01,38684
17,5,2013-05-01,40303
17,6,2013-06-01,39965
17,7,2013-07-01,39419
17,8,2013-08-01,38420
17,9,2013-09-01,38159
17,10,2013-10-01,38683
17,11,2013-11-01,37334
17,12,2013-12-01,42252
18,1,2013-01-02,39488
18,2,2013-02-01,33743
18,3,2013-03-01,41049
18,4,2013-04-01,41897
18,5,2013-05-01,41793
18,6,2013-06-01,41285
18,7,2013-07-01,40839
18,8,2013-08-01,40428
18,9,2013-09-01,41026
18,10,2013-10-01,42099
18,11,2013-11-01,40894
18,12,2013-12-01,46520
19,1,2013-01-02,34294
19,2,2013-02-01,35268
19,3,2013-03-01,40119
19,4,2013-04-01,37843
19,5,2013-05-01,37793
19,6,2013-06-01,37641
19,7,2013-07-01,38411
19,8,2013-08-01,38784
19,9,2013-09-01,38687
19,10,2013-10-01,38034
19,11,2013-11-01,39073
19,12,2013-12-01,44455
23,1,2013-01-02,34460
23,2,2013-02-01,32685
23,3,2013-03-01,36312
23,4,2013-04-01,35248
23,5,2013-05-01,36064
23,6,2013-06-01,35347
23,7,2013-07-01,35778
23,8,2013-08-01,35780
23,9,2013-09-01,35742
23,10,2013-10-01,36233
23,11,2013-11-01,31710
23,12,2013-12-01,39190
24,1,2013-01-02,70657
24,2,2013-02-01,65718
24,3,2013-03-01,74269
24,4,2013-04-01,71098
24,5,2013-05-01,73998
24,6,2013-06-01,71851
24,7,2013-07-01,73417
24,8,2013-08-01,74773
24,9,2013-09-01,68918
24,10,2013-10-01,68163
24,11,2013-11-01,66673
24,12,2013-12-01,80614
25,1,2013-01-01,27048
25,2,2013-02-01,36388
25,3,2013-03-01,37934
25,4,2013-04-01,27536
25,5,2013-05-01,23869
25,6,2013-06-01,20198
25,7,2013-07-01,22505
25,8,2013-08-01,26165
25,9,2013-09-01,21078
25,10,2013-10-01,26344
25,11,2013-11-01,22037
25,12,2013-12-01,35645
26,1,2013-01-02,24409
26,2,2013-02-01,23618
26,3,2013-03-01,27173
26,4,2013-04-01,25086
26,5,2013-05-01,26205
26,6,2013-06-01,24920
26,7,2013-07-01,23463
26,8,2013-08-01,24708
26,9,2013-09-01,23727
26,10,2013-10-01,20399
26,11,2013-11-01,19972
26,12,2013-12-01,30386
27,1,2013-01-02,33943
27,2,2013-02-01,34334
27,3,2013-03-01,39812
27,4,2013-04-01,36854
27,5,2013-05-01,39420
27,6,2013-06-01,38362
27,7,2013-07-01,39240
27,8,2013-08-01,40739
27,9,2013-09-01,39523
27,10,2013-10-01,40447
27,11,2013-11-01,35573
27,12,2013-12-01,41849
28,1,2013-01-02,25049
28,2,2013-02-01,25952
28,3,2013-03-01,30520
28,4,2013-04-01,30290
28,5,2013-05-01,33656
28,6,2013-06-01,33434
28,7,2013-07-01,32920
28,8,2013-08-01,34633
28,9,2013-09-01,33299
28,10,2013-10-01,32244
28,11,2013-11-01,31037
28,12,2013-12-01,38396
30,1,2013-01-02,20826
30,2,2013-02-01,19877
30,3,2013-03-01,21426
30,4,2013-04-01,20635
30,5,2013-05-01,21916
30,6,2013-06-01,21964
30,7,2013-07-01,6111
30,8,2013-08-01,23427
30,9,2013-09-01,21618
30,10,2013-10-01,21122
30,11,2013-11-01,20865
30,12,2013-12-01,24356
31,1,2013-01-02,35549
31,2,2013-02-01,34401
31,3,2013-03-01,39591
31,4,2013-04-01,37829
31,5,2013-05-01,39892
31,6,2013-06-01,39219
31,7,2013-07-01,39064
31,8,2013-08-01,38992
31,9,2013-09-01,36077
31,10,2013-10-01,37922
31,11,2013-11-01,38201
31,12,2013-12-01,49993
32,1,2013-01-02,20971
32,2,2013-02-01,20732
32,3,2013-03-01,22836
32,4,2013-04-01,21195
32,5,2013-05-01,22889
32,6,2013-06-01,21627
32,7,2013-07-01,21608
32,8,2013-08-01,21779
32,9,2013-09-01,19656
32,10,2013-10-01,19837
32,11,2013-11-01,19134
32,12,2013-12-01,21767
33,1,2013-01-02,31427
33,2,2013-02-01,30135
33,3,2013-03-01,34532
33,4,2013-04-01,33377
33,5,2013-05-01,35328
33,6,2013-06-01,34736
33,7,2013-07-01,34142
33,8,2013-08-01,34121
33,9,2013-09-01,32333
33,10,2013-10-01,33200
33,11,2013-11-01,32426
33,12,2013-12-01,39114
34,1,2013-01-02,70298
34,2,2013-02-01,71137
34,3,2013-03-01,78820
34,4,2013-04-01,75523
34,5,2013-05-01,74099
34,6,2013-06-01,70809
34,7,2013-07-01,72321
34,8,2013-08-01,75319
34,9,2013-09-01,71373
34,10,2013-10-01,75149
34,11,2013-11-01,70796
34,12,2013-12-01,85653
35,1,2013-01-02,18500
35,2,2013-02-01,22463
35,3,2013-03-01,22878
35,4,2013-04-01,16928
35,5,2013-05-01,16935
35,6,2013-06-01,15765
35,7,2013-07-01,16726
35,8,2013-08-01,17886
35,9,2013-09-01,17406
35,10,2013-10-01,18794
35,11,2013-11-01,17347
35,12,2013-12-01,20023
36,5,2013-05-09,31215
36,6,2013-06-01,29722
36,7,2013-07-01,27670
36,8,2013-08-01,29096
36,9,2013-09-01,27078
36,10,2013-10-01,28673
36,11,2013-11-01,27205
36,12,2013-12-01,34554
37,1,2013-01-02,42770
37,2,2013-02-01,38552
37,3,2013-03-01,43545
37,4,2013-04-01,41831
37,5,2013-05-01,44501
37,6,2013-06-01,43424
37,7,2013-07-01,44795
37,8,2013-08-01,40800
37,9,2013-09-01,41221
37,10,2013-10-01,42741
37,11,2013-11-01,44908
37,12,2013-12-01,52956
38,1,2013-01-02,50723
38,2,2013-02-01,48993
38,3,2013-03-01,56726
38,4,2013-04-01,52395
38,5,2013-05-01,54593
38,6,2013-06-01,52506
38,7,2013-07-01,53373
38,8,2013-08-01,53708
38,9,2013-09-01,51603
38,10,2013-10-01,53831
38,11,2013-11-01,54397
38,12,2013-12-01,68741
39,1,2013-01-02,40303
39,2,2013-02-01,39457
39,3,2013-03-01,44461
39,4,2013-04-01,43076
39,5,2013-05-01,43652
39,6,2013-06-01,43351
39,7,2013-07-01,44021
39,8,2013-08-01,43548
39,9,2013-09-01,41804
39,10,2013-10-01,43100
39,11,2013-11-01,41538
39,12,2013-12-01,51719
40,1,2013-01-02,30643
40,2,2013-02-01,28737
40,3,2013-03-01,32959
40,4,2013-04-01,33226
40,5,2013-05-01,35699
40,6,2013-06-01,33770
40,7,2013-07-01,34986
40,8,2013-08-01,35069
40,9,2013-09-01,32769
40,10,2013-10-01,33253
40,11,2013-11-01,33478
40,12,2013-12-01,39402
41,1,2013-01-02,24361
41,2,2013-02-01,23752
41,3,2013-03-01,26920
41,4,2013-04-01,25678
41,5,2013-05-01,27693
41,6,2013-06-01,26371
41,7,2013-07-01,26996
41,8,2013-08-01,28466
41,9,2013-09-01,27252
41,10,2013-10-01,27854
41,11,2013-11-01,28055
41,12,2013-12-01,37647
43,1,2013-01-02,33964
43,2,2013-02-01,34315
43,3,2013-03-01,38014
43,4,2013-04-01,36955
43,5,2013-05-01,38600
43,6,2013-06-01,35103
43,7,2013-07-01,37672
43,8,2013-08-01,40131
43,9,2013-09-01,36717
43,10,2013-10-01,38011
43,11,2013-11-01,37131
43,12,2013-12-01,44967
44,1,2013-01-02,118786
44,2,2013-02-01,107605
44,3,2013-03-01,124656
44,4,2013-04-01,119439
44,5,2013-05-01,125494
44,6,2013-06-01,120479
44,7,2013-07-01,122343
44,8,2013-08-01,124238
44,9,2013-09-01,122319
44,10,2013-10-01,121253
44,11,2013-11-01,126153
44,12,2013-12-01,161167
45,1,2013-01-02,101578
45,2,2013-02-01,95553
45,3,2013-03-01,110357
45,4,2013-04-01,104519
45,5,2013-05-01,108433
45,6,2013-06-01,105010
45,7,2013-07-01,105677
45,8,2013-08-01,108863
45,9,2013-09-01,103171
45,10,2013-10-01,105574
45,11,2013-11-01,105735
45,12,2013-12-01,137889
46,1,2013-01-02,104443
46,2,2013-02-01,99084
46,3,2013-03-01,110279
46,4,2013-04-01,104080
46,5,2013-05-01,108774
46,6,2013-06-01,104273
46,7,2013-07-01,105791
46,8,2013-08-01,110284
46,9,2013-09-01,104730
46,10,2013-10-01,104228
46,11,2013-11-01,104017
46,12,2013-12-01,145006
47,1,2013-01-02,109668
47,2,2013-02-01,103706
47,3,2013-03-01,116873
47,4,2013-04-01,108571
47,5,2013-05-01,113532
47,6,2013-06-01,110637
47,7,2013-07-01,107506
47,8,2013-08-01,112001
47,9,2013-09-01,114468
47,10,2013-10-01,114585
47,11,2013-11-01,114436
47,12,2013-12-01,150204
48,1,2013-01-02,83657
48,2,2013-02-01,81514
48,3,2013-03-01,91996
48,4,2013-04-01,86142
48,5,2013-05-01,90470
48,6,2013-06-01,87142
48,7,2013-07-01,86552
48,8,2013-08-01,91607
48,9,2013-09-01,88003
48,10,2013-10-01,86801
48,11,2013-11-01,89223
48,12,2013-12-01,126210
49,1,2013-01-02,57065
49,2,2013-02-01,52754
49,3,2013-03-01,61864
49,4,2013-04-01,59717
49,5,2013-05-01,63065
49,6,2013-06-01,62260
49,7,2013-07-01,62424
49,8,2013-08-01,64792
49,9,2013-09-01,64882
49,10,2013-10-01,67120
49,11,2013-11-01,68340
49,12,2013-12-01,98874
50,1,2013-01-02,75412
50,2,2013-02-01,72788
50,3,2013-03-01,82409
50,4,2013-04-01,77979
50,5,2013-05-01,82773
50,6,2013-06-01,79447
50,7,2013-07-01,80808
50,8,2013-08-01,84169
50,9,2013-09-01,80406
50,10,2013-10-01,80553
50,11,2013-11-01,74033
50,12,2013-12-01,101262
51,1,2013-01-02,50762
51,2,2013-02-01,45917
51,3,2013-03-01,50731
51,4,2013-04-01,49800
