date,store_nbr,transactions
2013-01-01,25,770
2013-01-02,1,2111
2013-01-02,2,2358
2013-01-02,3,3487
2013-01-02,4,1922
2013-01-02,5,1903
2013-01-02,6,2143
2013-01-02,7,1874
2013-01-02,8,3250
2013-01-02,9,2940
2013-01-02,10,1293
2013-01-02,11,3547
2013-01-02,12,1362
2013-01-02,13,1102
2013-01-02,14,2002
2013-01-02,15,1622
2013-01-02,16,1167
2013-01-02,17,1580
2013-01-02,18,1635
2013-01-02,19,1369
2013-01-02,23,1381
2013-01-02,24,2605
2013-01-02,25,1038
2013-01-02,26,1008
2013-01-02,27,1386
2013-01-02,28,950
2013-01-02,30,708
2013-01-02,31,1401
2013-01-02,32,776
2013-01-02,33,1163
2013-01-02,34,2724
2013-01-02,35,786
2013-01-02,37,1691
2013-01-02,38,1987
2013-01-02,39,1587
2013-01-02,40,1178
2013-01-02,41,915
2013-01-02,43,1385
2013-01-02,44,4821
2013-01-02,45,4208
2013-01-02,46,4886
2013-01-02,47,4161
2013-01-02,48,3397
2013-01-02,49,2346
2013-01-02,50,3077
2013-01-02,51,1985
2013-01-02,54,998
2013-01-03,1,1833
2013-01-03,2,2033
2013-01-03,3,3026
2013-01-03,4,1551
2013-01-03,5,1740
2013-01-03,6,1795
2013-01-03,7,1568
2013-01-03,8,2904
2013-01-03,9,2396
2013-01-03,10,1157
2013-01-03,11,2675
2013-01-03,12,1248
2013-01-03,13,916
2013-01-03,14,1823
2013-01-03,15,1512
2013-01-03,16,1101
2013-01-03,17,1339
2013-01-03,18,1484
2013-01-03,19,1098
2013-01-03,23,1181
2013-01-03,24,2462
2013-01-03,25,887
2013-01-03,26,813
2013-01-03,27,928
2013-01-03,28,749
2013-01-03,30,689
2013-01-03,31,1126
2013-01-03,32,727
2013-01-03,33,1168
2013-01-03,34,2348
2013-01-03,35,725
2013-01-03,37,1526
2013-01-03,38,1746
2013-01-03,39,1426
2013-01-03,40,1171
2013-01-03,41,809
2013-01-03,43,1334
2013-01-03,44,3618
2013-01-03,45,3314
2013-01-03,46,3438
2013-01-03,47,3660
2013-01-03,48,2887
2013-01-03,49,1702
2013-01-03,50,2307
2013-01-03,51,1644
2013-01-03,54,920
2013-01-04,1,1863
2013-01-04,2,2066
2013-01-04,3,3188
2013-01-04,4,1596
2013-01-04,5,1642
2013-01-04,6,1679
2013-01-04,7,1513
2013-01-04,8,2962
2013-01-04,9,1975
2013-01-04,10,970
2013-01-04,11,2515
2013-01-04,12,1064
2013-01-04,13,879
2013-01-04,14,1641
2013-01-04,15,1318
2013-01-04,16,977
2013-01-04,17,1139
2013-01-04,18,1238
2013-01-04,19,1003
2013-01-04,23,1257
2013-01-04,24,2607
2013-01-04,25,1054
2013-01-04,26,813
2013-01-04,27,1034
2013-01-04,28,651
2013-01-04,30,689
2013-01-04,31,1246
2013-01-04,32,680
2013-01-04,33,948
2013-01-04,34,2369
2013-01-04,35,630
2013-01-04,37,1701
2013-01-04,38,1723
2013-01-04,39,1285
2013-01-04,40,1044
2013-01-04,41,835
2013-01-04,43,1358
2013-01-04,44,4169
2013-01-04,45,3630
2013-01-04,46,3434
2013-01-04,47,3915
2013-01-04,48,2900
2013-01-04,49,2016
2013-01-04,50,2698
2013-01-04,51,1786
2013-01-04,54,794
2013-01-05,1,1509
2013-01-05,2,2062
2013-01-05,3,3623
2013-01-05,4,1825
2013-01-05,5,1643
2013-01-05,6,2154
2013-01-05,7,1599
2013-01-05,8,3060
2013-01-05,9,2604
2013-01-05,10,1269
2013-01-05,11,3052
2013-01-05,12,1293
2013-01-05,13,1336
2013-01-05,14,2052
2013-01-05,15,1543
2013-01-05,16,1109
2013-01-05,17,1433
2013-01-05,18,1323
2013-01-05,19,1713
2013-01-05,23,1250
2013-01-05,24,2578
2013-01-05,25,1355
2013-01-05,26,1081
2013-01-05,27,1327
2013-01-05,28,1033
2013-01-05,30,749
2013-01-05,31,1317
2013-01-05,32,890
2013-01-05,33,1217
2013-01-05,34,2599
2013-01-05,35,723
2013-01-05,37,1770
2013-01-05,38,2214
2013-01-05,39,1851
2013-01-05,40,1118
2013-01-05,41,1021
2013-01-05,43,1205
2013-01-05,44,4921
2013-01-05,45,4331
2013-01-05,46,4935
2013-01-05,47,4764
2013-01-05,48,4084
2013-01-05,49,2562
2013-01-05,50,3459
2013-01-05,51,2068
2013-01-05,54,949
2013-01-06,1,520
2013-01-06,2,1992
2013-01-06,3,3590
2013-01-06,4,1891
2013-01-06,5,1754
2013-01-06,6,2313
2013-01-06,7,1431
2013-01-06,8,2748
2013-01-06,9,2635
2013-01-06,10,1173
2013-01-06,11,3188
2013-01-06,12,1271
2013-01-06,13,1008
2013-01-06,14,1313
2013-01-06,15,1149
2013-01-06,16,1323
2013-01-06,17,1383
2013-01-06,18,1405
2013-01-06,19,1157
2013-01-06,23,1100
2013-01-06,24,2061
2013-01-06,25,716
2013-01-06,26,1075
2013-01-06,27,1614
2013-01-06,28,1207
2013-01-06,30,667
